"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"46858",615,"J & A RESTAURANT","5712 MISSION St","San Francisco","CA","94112",37.709857,-122.449709,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.449709', 'latitude': '37.709857'}",14155336688,"615_20190109","2019-01-09T00:00:00",89,"Routine - Unscheduled","615_20190109_103114","High risk vermin infestation","High Risk",3
"46876",628,"EL BURRITO EXPRESS #2","1812 DIVISADERO St","San Francisco","CA","94115",37.786407,-122.440057,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.440057', 'latitude': '37.786407'}",14155774246,"628_20190109","2019-01-09T00:00:00",79,"Routine - Unscheduled","628_20190109_103133","Foods not protected from contamination","Moderate Risk",2
"46880",615,"J & A RESTAURANT","5712 MISSION St","San Francisco","CA","94112",37.709857,-122.449709,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.449709', 'latitude': '37.709857'}",14155336688,"615_20190109","2019-01-09T00:00:00",89,"Routine - Unscheduled","615_20190109_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"46905",71657,"Bussaba","534 IRVING St","San Francisco","CA","94122",37.764188,-122.463683,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.463683', 'latitude': '37.764188'}",14155374505,"71657_20171010","2017-10-10T00:00:00",70,"Routine - Unscheduled","71657_20171010_103103","High risk food holding temperature","High Risk",3
"46906",9710,"RICKSHAW STOP","155 FELL ST","San Francisco","CA","94102",37.776223,-122.420497,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.420497', 'latitude': '37.776223'}",14150286135,"9710_20190115","2019-01-15T00:00:00",96,"Routine - Unscheduled","9710_20190115_103161","Low risk vermin infestation","Low Risk",1
"46918",3070,"FLOWER MARKET CAFE","698 BRANNAN St","San Francisco","CA","94107",37.775664,-122.399999,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.399999', 'latitude': '37.775664'}",14155497162,"3070_20190110","2019-01-10T00:00:00",77,"Routine - Unscheduled","3070_20190110_103103","High risk food holding temperature","High Risk",3
"46921",619,"A-1 BAKERY","1727 OCEAN Ave","San Francisco","CA","94112",37.724824,-122.460726,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.460726', 'latitude': '37.724824'}",14155586923,"619_20190110","2019-01-10T00:00:00",86,"Routine - Unscheduled","619_20190110_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
"46922",11610,"On Lok","225 30th St","San Francisco","CA","94131",37.742129,-122.425006,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.425006', 'latitude': '37.742129'}",14155644359,"11610_20190107","2019-01-07T00:00:00",87,"Routine - Unscheduled","11610_20190107_103105","Improper cooling methods","High Risk",3
"46942",5019,"PEET'S COFFEE & TEA","2300 16th St #240","San Francisco","CA","94103",37.765708,-122.409002,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.409002', 'latitude': '37.765708'}",14155566713,"5019_20190111","2019-01-11T00:00:00",98,"Routine - Unscheduled","5019_20190111_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"46944",2684,"ERIC'S RESTAURANT","1500 Church St","San Francisco","CA","94131",37.746759,-122.426995,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426995', 'latitude': '37.746759'}",14155280919,"2684_20190107","2019-01-07T00:00:00",84,"Routine - Unscheduled","2684_20190107_103144","Unapproved or unmaintained equipment or utensils","Low Risk",1
